Fastfood,Item,Type,Calories,TotalFat,SaturatedFat,TransFat,Sodium,Carbs,Sugars,Protein
Burger King,Hamburger,Burger,220,8,3,0.5,380,26,6,11
Burger King,Cheeseburger,Burger,270,12,5,0.5,560,27,7,13
Burger King,WHOPPERÂ Sandwich,Burger,630,38,11,1.5,810,49,11,26
Burger King,Bacon & Cheese WHOPPERÂ Sandwich,Burger,750,49,16,2,1260,46,8,33
Burger King,DOUBLE WHOPPERÂ Sandwich,Burger,850,54,18,2.5,870,49,11,43
Burger King,Double Bacon King,Burger,1040,69,28,2.5,1900,48,10,57
Burger King,Chocolate Milk Shake,Milkshake,610,16,10,0,500,103,88,14
Burger King,TENDERCRISPÂ Chicken Sandwich,Breaded Chicken Sandwich,660,40,7,0,1220,49,7,26
Burger King,TENDERGRILLÂ Chicken Sandwich,Grilled Chicken Sandwich,420,18,3,0,700,35,6,32
Burger King,Chicken Nuggets- 4pc,Chicken Nuggets,170,11,1.5,0,310,11,0,8
Burger King,French Fries - small (Salted),French Fries,320,14,2.5,0,480,44,0,4
Wendy's,Jr. Hamburger,Burger,250,10,4,1,600,25,5,14
Wendy's,Jr. Cheeseburger,Burger,290,13,6,1,800,26,6,16
Wendy's,Dave's Single Cheeseburger,Burger,580,31,13,2,1220,42,10,30
Wendy's,1/2 lb. Double w/ Cheese,Burger,820,47,20,3,1510,42,10,48
Wendy's,3/4 lb. Triple w/ Cheese,Burger,1090,66,29,4,1990,43,11,69
Wendy's,BaconatorÂ,Burger,940,56,23,3,1890,41,9,57
Wendy's,Son of BaconatorÂ,Burger,670,37,15,2,1670,41,9,38
Wendy's,"Chocolate Frosty Shake, Small",Milkshake,580,13,8,1,250,104,93,11
Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,510,20,4,0,1200,54,8,29
Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,370,7,2,0,880,43,9,34
Wendy's,4-Piece Regular Chicken Nuggets,Chicken Nuggets,180,12,3,0,350,10,0,9
Wendy's,Small Natural-Cut Fries,French Fries,310,15,3,0,330,40,0,4
Chick-fil-A,Grilled Chicken Sandwich,Grilled Chicken Sandwich,270,3.5,1,0,940,33,7,28
Chick-fil-A,Chick-fil-A Chicken Sandwich,Breaded Chicken Sandwich,410,16,3.5,0,1300,38,5,28
Chick-fil-A,4-Piece Chicken Nuggets,Chicken Nuggets,130,6,1,0,545,6,1.5,13
Chick-fil-A,Small Waffle Fries,French Fries,280,14,5,1,105,37,0,3
Chick-fil-A,Chocolate Milkshake,Milkshake,560,22,13,0,380,82,79,12
Jack in the Box,Hamburger,Burger,280,11,4,0.5,680,32,5,14
Jack in the Box,Hamburger with Cheese,Burger,320,14,6,1,880,32,6,16
Jack in the Box,Jumbo Jack,Burger,490,23,8,1.5,910,44,7,26
Jack in the Box,Bacon Ultimate CheeseburgerÈ,Burger,910,56,24,3,2190,44,7,57
Jack in the Box,Big Cheeseburger,Burger,560,30,12,1.5,1170,43,6,29
Jack in the Box,Jr. JackÈ with Cheese,Burger,470,19,7,1,920,33,6,16
Jack in the Box,Sirloin Cheeseburger,Burger,1030,71,23,2.5,1990,52,9,41
Jack in the Box,Sourdough JackÂ,Burger,660,41,15,1.5,1450,40,8,35
Jack in the Box,"Shake, Chocolate w/ Whipped Topping 16 oz.",Milkshake,800,38,26,1.5,300,101,88,13
Jack in the Box,Chicken Sandwich,Breaded Chicken Sandwich,410,21,3.5,0,880,42,4,15
Jack in the Box,Sourdough Grilled Chicken Club,Grilled Chicken Sandwich,540,26,7,0,1490,38,6,39
Jack in the Box,Chicken Nuggets 5 pc.,Chicken Nuggets,240,17,2,0,600,13,0,9
Jack in the Box,Sourdough Grilled Chicken Club,French Fries,330,15,1.5,0,610,45,0,4
Sonic,JR. BURGER,Burger,330,17,6,0.5,480,30,3,15
Sonic,JR. CHEESEBURGER,Burger,390,23,9,0.5,810,31,3,19
Sonic,SONICÂ BURGER WITH KETCHUP,Burger,650,37,14,1.5,840,46,10,31
Sonic,SuperSONICÂ BACON DOUBLE CHEESEBURGER WITH MAYO,Burger,1240,87,35,3.5,1690,44,8,67
Sonic,SONICÂ BACON CHEESEBURGER WITH MAYO,Burger,820,54,20,2,1260,43,7,39
Sonic,¨HATCH GREEN CHILE CHEESEBURGER,Burger,710,43,17,1.5,1120,43,8,35
Sonic,Chocolate Shake Small,Milkshake,670,31,23,0,330,89,56,8
Sonic,CLASSIC CHICKEN SANDWICH-CRISPY,Breaded Chicken Sandwich,580,29,4.5,0,900,57,7,28
Sonic,CLASSIC CHICKEN SANDWICH-GRILLED,Grilled Chicken Sandwich,450,17,2,0,1240,44,7,32
Sonic,JUMBO POPCORN CHICKENÂMEDIUM,Chicken Nuggets,380,22,4,0,1260,27,1,18
Sonic,NATURAL-CUT FRIES SMALL,French Fries,250,12,2,0,260,33,0,3
Dairy Queen,Original Cheeseburger,Burger,380,19,8,1,920,34,8,21
Dairy Queen,1/4 lb. GrillBurger with Cheese,Burger,520,28,11,1,1110,43,10,25
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,Burger,560,33,12,1,890,39,5,27
Dairy Queen,1/2 lb. Cheese GrillBurger,Burger,770,46,20,1.5,1410,43,10,45
Dairy Queen,Double Cheeseburger,Burger,580,34,16,1.5,1240,35,9,37
Dairy Queen,1/4 lb. Bacon Cheese GrillBurgerÈ,Burger,620,36,14,1,1320,41,9,34
Dairy Queen,"Chocolate Shake, Small",Milkshake,550,19,14,0.5,220,82,71,13
Dairy Queen,Crispy Chicken Sandwich,Breaded Chicken Sandwich,610,30,3.5,0,1120,50,5,22
Dairy Queen,Grilled Chicken Sandwich,Grilled Chicken Sandwich,360,16,2.5,0,1040,32,6,26
Dairy Queen,3 Chicken Strips,Chicken Nuggets,350,20,3,0,960,22,0,22
Dairy Queen,French Fries - Regular,French Fries,380,17,2.5,0,790,54,0,4
Carl's,Kids Hamburger,Burger,302,12,4.8,0,569,33.6,5.6,17.7
Carl's,Kids Cheeseburger,Burger,351,15.9,7.5,0,733,34.2,5.8,20.5
Carl's,Famous Star with Cheese,Burger,591,43.7,14.1,0.4,1143,54,9.9,29.7
Carl's,Super Star with Cheese,Burger,930,56,23,2,1540,59,14,48
Carl's,Western Bacon Cheeseburger,Burger,750,35,14,1,1650,75,16,36
Carl's,Teriyaki Burger,Burger,630,29,11,1,1070,65,20,28
Carl's,The Big Carl,Burger,920,68,23,2,1380,56,12,47
Carl's,The 1/2 lb. Original Six Dollar ThickburgerÂ,Burger,1020,70,27,3.5,1760,59,19,39
Carl's,Chocolate Shake,Milkshake,700,36,24,1.5,300,84,59,12
Carl's,Buttermilk Ranch Chicken Tender Sandwich,Breaded Chicken Sandwich,493,23.2,2.7,0.1,1287,43.2,0.4,26.7
Carl's,Charbroiled Chicken Club Sandwich,Grilled Chicken Sandwich,398,30.5,9.5,0.4,1216,36.2,5.7,28.9
Carl's,Kid's Chicken Tenders (2 pcs.),Chicken Nuggets,220,11.1,1.6,0.1,859,9.5,0.2,20.6
Carl's,Natural-Cut Fries (Small),French Fries,304,14.7,2.7,0.1,610,39.4,0.3,3.4
Hardee's,Kids Hamburger,Burger,500,22,5,,1080,61,7,16
Hardee's,Kids Cheeseburger,Burger,550,26,6,,1300,61,7,18
Hardee's,1/3 LB Original Thickburger,Burger,820,43,16,,1660,56,15,32
Hardee's,1/2 LB Original Thinkbuger,Burger,1030,70,24,,2240,57,16,45
Hardee's,1/3 LB Mushroom & Swiss Thickburger,Burger,690,40,15,,1630,52,11,34
Hardee's,1/3 LB Bacon Cheese Thickburger,Burger,900,59,18,,1680,54,13,40
Hardee's,2/3 LB Double Thickburger,Burger,1140,79,27,,2460,58,17,56
Hardee's,Charbroiled Chicken ClubÈ Sandwich,Grilled Chicken Sandwich,590,31,8,,1510,35,9,42
Hardee's,Big Chicken Fillet Sandwich,Breaded Chicken Sandwich,750,42,8,,1490,63,11,32
Hardee's,3 Piece Hand-Breaded Chicken Tenders,Chicken Nuggets,260,13,2.5,,770,13,0,25
Hardee's,Natural Cut French Fries - Small,French Fries,360,18,3,,730,47,0,4
Hardee's,Hand Scooped Ice-Cream Shake,Milkshake,710,33,24,,240,87,73,14
White Castle,The Original Slider,Burger,140,6,2.5,0.5,360,13,1,7
White Castle,Cheese Slider,Burger,160,9,4,0.5,500,14,2,8
